dmg,acc_date,type,reg,operator,fatal,location
sub,18-Aug-20,ATR 72-600 (72-212A),6V-ASN,Air Senegal,0,Ziguinchor Airport (ZIG)
sub,19-Aug-20,Boeing 767-3S2FER,N146FE,FedEx,0,"Los Angeles International Airport, CA (LAX)"
w/o,20-Aug-20,Beechcraft 200 Super King Air,N198DM,Bomac Air,1,"Chicago/Rockford International Airport, IL (RFD/KRFD)"
w/o,22-Aug-20,Antonov An-26B,EX-126,"South West Aviation, lsf Skyway Air",9,ca 4 km NW of Juba Airport (JUB)
sub,27-Aug-20,Boeing 747SP-21,VQ-BMS,Las Vegas Sands Corporation,0,"Lake Charles-Chennault International Airport, LA (CWF)"
sub,28-Aug-20,Boeing 767-324ER,N423AX,Omni Air International,0,Bucharest Baneasa Aurel Vlaicu International Airport (BBU)
sub,29-Aug-20,Boeing 737-81D (WL),JA73NM,Skymark Airlines,0,15 km ENE of Tokyo-Haneda International Airport (HND)
sub,29-Aug-20,Dassault Falcon 200,XB-OAP,private,0,Palenque Airport (PQM)
sub,04-Sep-20,Fairchild SA227-AC Metro III,N362AE,Ameriflight,0,"San Antonio International Airport, TX (SAT)"
sub,07-Sep-20,Cessna 208B Grand Caravan,N186GC,Grand Canyon Airlines,0,"Whitmore-Grand Canyon Bar Ten Airstrip, AZ (GCT)"
sub,07-Sep-20,Gulfstream G200 Galaxy,PR-AUR,W.R.V. Empreendimentos e Participacoes Ltda.,0,"Belo Horizonte/Pampulha - Carlos Drummond de Andrade Airport, MG (PLU)"
w/o,11-Sep-20,Cessna 208B Grand Caravan,5Y-CDH,Unknown,0,Maji Moto area in Narok South
sub,16-Sep-20,Cessna 560 Citation Encore,N254DR,Connair Consulting LLC,0,"Jackson-McKellar-Sipes Regional Airport, TN (MKL)"
w/o,19-Sep-20,Fokker 50,5Y-MHT,"Silverstone Air Services, opf Saacid Airlines",0,Mogadishu Aden Adde International Airport (MGQ)
w/o,21-Sep-20,Learjet 35,false reg.,private,0,Santha Martha
sub,22-Sep-20,Cessna 208B Grand Caravan,HK-4669-G,private,0,near Guaymaral Airport
w/o,23-Sep-20,British Aerospace BAe-125-800A,XB-PYZ,private,4,"Alta Verapaz, Santa Marta Salina"
