dmg,acc_date,type,reg,operator,fatal,location
w/o,19-Dec-19,Beechcraft A100 King Air,YV1104,Representaciones Aero3,9,near Charallave-Óscar Machado Zuloaga Airport
sub,21-Dec-19,Boeing 737-7BD (WL),N7739A,Southwest Airlines,0,"near Kansas City International Airport, MO (MCI)"
sub,22-Dec-19,Boeing 737-824 (WL),N87513,United Airlines,0,"Denver International Airport, CO (DEN/KDEN)"
w/o,24-Dec-19,Cessna 208B Grand Caravan,XA-TWN,Calafia Airlines,2,near Tastiota
non,25-Dec-19,Airbus A320-232 (WL),B-50001,Tigerair Taiwan,0,100 km NNE of Miyazaki Airport
sub,27-Dec-19,Cirrus SF50 Vision Jet,N52CV,private,0,"Santa Monica Airport, CA (SMO)"
w/o,27-Dec-19,Fokker 100,UP-F1007,Bek Air,12,near Almaty Airport (ALA)
sub,28-Dec-19,Let L-410UVP-E,9S-GDX,Air Fast Congo,0,Kamina Airport (KMN)
sub,29-Dec-19,Cessna 560XL Citation XLS,LV-FQD,Sunny Sky,0,"6 km from Otamendi, BA"
non,01-Jan-18,Airbus A319-111,G-EZII,Easyjet,0,80 nm NE of Barcelona Airport (LEBL)
non,03-Jan-18,Airbus A319-131,G-DBCA,British Airways,0,near Verona Villafranca
sub,04-Jan-18,Gulfstream G150,OE-GKA,Private Airlines Germany,,Kittilä Airport (KTT)
sub,05-Jan-18,Boeing 737-8FH (WL),C-FPRP,Sunwing Airlines,0,"Toronto-Pearson International Airport, ON (YYZ)"
sub,05-Jan-18,Boeing 737-8CT (WL),C-FDMB,WestJet,0,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ)"
sub,06-Jan-18,Boeing 777-369ER,9K-AOC,Kuwait Airways,0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)"
w/o,06-Jan-18,Antonov An-2TP,YV1944,Unknown,0,La Paragua Airport
w/o,07-Jan-18,Cessna 208B Grand Caravan,5Y-FDC,Unknown,,Akobo Airport (HSAK)
sub,09-Jan-18,Embraer EMB-110P1 Bandeirante,C6-MIC,Pineapple Air,0,Governor's Harbour Airport (GHB)
sub,10-Jan-18,de Havilland Canada DHC-8-402Q Dash 8,SP-EQG,LOT Polskie Linie Lotnicze,0,Warszawa-Frédéric Chopin Airport (WAW/EPWA)
sub,10-Jan-18,Gulfstream G200,RP-C280,Air Taxi PH,0,Legazpi-Bicol International Airport (LGP)
sub,10-Jan-18,Fairchild SA227-AT Merlin IVC,N561UP,Ameriflight,0,"Rock Springs-Sweetwater County Airport, WY (RKS)"
sub,13-Jan-18,Boeing 737-82R (WL),TC-CPF,Pegasus Airlines,0,Trabzon Airport (TZX)
sub,15-Jan-18,Airbus A319-111,5A-ONC,Afriqiyah Airways,0,Tripoli-Mitiga International Airport (MJI)
sub,16-Jan-18,British Aerospace BAe-748-347 Srs. 2A,S2-AAX,Bismillah Airlines,0,Jessore Airport (JSR)
non,17-Jan-18,Embraer ERJ-190AR,5H-FJI,Fastjet,,"Mwanza International Airport (HTMW), Mwanza"
w/o,17-Jan-18,IPTN/CASA CN-235M-100,98-148,Türk Hava Kuvvetleri (Turkish Air Force),3,"Hodulluca Mevkii, Yalvaç district"
sub,18-Jan-18,Convair CV-580F,XA-TRB,Air Tribe,0,"Brownsville-South Padre Island International Airport, TX (BRO)"
sub,20-Jan-18,Let L-410UVP,UR-VTV,Galeyr Airline,0,Mogadishu Aden Adde International Airport (MGQ)
unk,20-Jan-18,Embraer EMB-120ER Brasilia,5Y-CEI,"Delegation of the EU to Somalia, lsf AirTraffic Africa",0,Mogadishu Aden Adde International Airport (MGQ)
sub,25-Jan-18,Gulfstream G200,5N-BTF,Nestoil,0,Abuja-Nnamdi Azikiwe International Airport (ABV/DNAA)
w/o,29-Jan-18,Shaanxi Y-8GX-3,30513,People's Liberation Army - Air Force - PLAAF,12,"Zhengchang, Suiyang County, Guizhou Province"
non,01-Feb-18,Airbus A330-202,VH-...,Qantas,0,"Sydney-Kingsford Smith International Airport, NSW (SYD/YSSY)"
sub,04-Feb-18,Raytheon Beechjet 400A,N570TM,"Travel Management, Inc",0,"Cleveland-Burke Lakefront Airport, OH (BKL)"
non,10-Feb-18,Boeing 737-8AS (WL),EI-EKI,Ryanair,0,Canaries airspace
w/o,11-Feb-18,Antonov An-148-100B,RA-61704,Saratov Airlines,71,"near Stepanovskoye, Ramenskoye district"
non,13-Feb-18,Airbus A330-223,N858NW,Delta Air Lines,0,Lagos-Murtala Muhammed International Airport (LOS/DNMM)
sub,16-Feb-18,Fokker 100,EP-FQF,Qeshm Air,0,Mashhad Airport (MHD)
w/o,18-Feb-18,ATR 72-212,EP-ATS,Iran Aseman Airlines,66,15 km NE of Yasuj Airport (YES)
sub,20-Feb-18,McDonnell Douglas MD-83,5N-SRI,Dana Air,0,Port Harcourt Airport (PHC)
min,21-Feb-18,Cessna 208B Grand Caravan,G-BZAH,Army Parachute Association,0,Netheravon Airport (EGDN)
sub,23-Feb-18,Beechcraft B100 King Air,C-GIAE,Island Express Air,0,"Abbotsford Airport, BC (YXX/CYXX)"
non,24-Feb-18,Airbus A330-323,N817NW,Delta Air Lines,0,"Minneapolis, Minnesota"
sub,26-Feb-18,Beechcraft A100 King Air,C-GJXF,Strait Air,0,"Havre-Saint-Pierre Airport, QC (YGV)"
sub,28-Feb-18,Airbus A320-214,ES-SAN,SmartLynx Airlines Estonia,0,Tallinn-Lennart Meri Airport (TLL)
sub,01-Mar-18,Beechcraft 200 Super King Air,YV1909,Unknown,0,Charallave-Óscar Machado Zuloaga Airport (SVCS)
sub,04-Mar-18,Boeing 737-322 (SF),9S-ASG,Serve Air,0,Lubumbashi International Airport (FBM)
w/o,06-Mar-18,Antonov An-26,RF-92955/52,Russian Air Force,39,"0,5 km from Latakia-Khmeimim Air Base (LTK)"
sub,10-Mar-18,Learjet 31,N500MP,N500MP LLC,0,"Mount Pleasant Municipal Airport, MI (KMOP)"
w/o,11-Mar-18,Bombardier CL-600-2B16 Challenger 604,TC-TRB,MC Aviation,11,130 km SW of Shahr-e Kurd
w/o,12-Mar-18,de Havilland Canada DHC-8-402Q Dash 8,S2-AGU,US-Bangla Airlines,51,Kathmandu-Tribhuvan Airport (KTM)
non,14-Mar-18,Boeing 777-31HER,A6-EGU,Emirates,1,Entebbe Airport (EBB/HUEN)
w/o,15-Mar-18,Cessna 208 Caravan I,VH-PGA,West Coast Air Services,0,"Talbot Bay, WA"
w/o,15-Mar-18,Beechcraft B200 Super King Air,YV3284 ?,Unknown,0,"near Blue Creek, Orange Walk Town"
sub,16-Mar-18,Beechcraft C99 Commuter,N213AV,Ameriflight,0,"Hastings Airport, NE (HSI)"
sub,17-Mar-18,Canadair CL-600-2B19 Regional Jet CRJ-200ER,C-FDJA,"Air Canada Express, opb Jazz Aviation",0,"Montreal-Pierre Elliott Trudeau International Airport, QC (YUL)"
sub,20-Mar-18,de Havilland Canada DHC-6 Twin Otter 300,N716JP,Bald Mountain Air Services,0,"225 km N of Deadhorse, AK"
non,21-Mar-18,Gulfstream V,N90JE,Peyton Holdings LLC,0,"Miami, Florida"
non,23-Mar-18,Boeing 737-8K5 (WL),OK-TVP,"SmartWings, opf Israir",0,Budapest Ferenc Liszt International Airport (BUD/LHBP)
sub,26-Mar-18,CASA C-212 Aviocar 200,N107BH,Bighorn Airways,0,"Sheridan Airport, WY (SHR)"
unk,26-Mar-18,CASA C-212 Aviocar,N217BH,Bighorn Airways,0,"Sheridan Airport, WY (SHR)"
sub,27-Mar-18,Airbus A319-111,G-EZMK,easyJet,0,Murcia-San Javier Airport (MJV)
sub,28-Mar-18,Boeing 767-3Q8ER,4X-EAK,El Al Israel Airlines,0,Tel Aviv-Ben Gurion International Airport (TLV/LLBG)
sub,28-Mar-18,Boeing 737-76J (WL),D-ABLB,Germania,0,Tel Aviv-Ben Gurion International Airport (TLV/LLBG)
sub,29-Mar-18,Beechcraft 99 Airliner,N31TN,Lake Clark Air,0,"Pilot Point Airport, AK (PIP)"
sub,29-Mar-18,ATR 42-500,XA-UAV,Aeromar,0,Mexico City-Benito Juárez International Airport (MEX)
sub,29-Mar-18,ATR 72-600 (72-212A),XA-UYY,Aeromar,0,Mexico City-Benito Juárez International Airport (MEX)
sub,29-Mar-18,Fairchild SA227-DC Metro 23,CP-2459,Línea Aérea Amaszonas,0,Riberalta-Capitán Av. Selin Zeitun Lopez Airport (RIB)
sub,30-Mar-18,Antonov An-12BK,UR-KDM,Cavok Air,0,Gao Airport (GAQ)
sub,30-Mar-18,Cessna 650 Citation III,N126MT,2M Leasing LLC,0,"Orlando-Central Florida Regional Airport, FL (SFB)"
sub,31-Mar-18,Cessna 208B Grand Caravan,N9339B,Skydive the Ranch,0,"near Gardiner Airport, NY"
sub,02-Apr-18,Cessna 525C Citation CJ4,N511AC,Avis Industrial Corporation,,"Marion Municipal Airport, IN (MZZ)"
w/o,04-Apr-18,Dassault Falcon 2000EX,XA-CDT,Unknown,0,"Houston-William P. Hobby Airport, TX (HOU)"
w/o,04-Apr-18,Learjet 60,N759SH,Henning Aviation LLC,0,"Houston-William P. Hobby Airport, TX (HOU)"
w/o,04-Apr-18,Cessna 560XL Citation Excel,N900WL,MTC Enterprises LLC,0,"Houston-William P. Hobby Airport, TX (HOU)"
w/o,04-Apr-18,Learjet 40XR,N626FX,Union Gas Air Ventures I LLC,0,"Houston-William P. Hobby Airport, TX (HOU)"
w/o,04-Apr-18,Learjet 45XR,N618CW,ERG Holdings LLC,0,"Houston-William P. Hobby Airport, TX (HOU)"
unk,05-Apr-18,Antonov An-26,UP-AN607,Mega Aircompany,0,Wau Airport (WUU)
sub,09-Apr-18,Beechcraft 200 Super King Air,LN-NOA,Airwing,0,Stavanger-Sola Airport (SVG)
sub,09-Apr-18,Boeing 737-9B5,HL7725,Korean Air,0,Osaka-Kansai International Airport (KIX)
sub,11-Apr-18,Cessna 208B Grand Caravan,N814GV,"Hageland Aviation Services, opf Ravn Connect",0,"3,2 km N of Atqasuk Airport, AK (ATK)"
w/o,11-Apr-18,Ilyushin Il-76TD,7T-WIV,Al Quwwat al-Jawwiya al-Jaza'eriya,257,near Boufarik Air Base
sub,12-Apr-18,Cessna 208B Grand Caravan,5Y-SAV,Penial Air,0,"El Barde, Somalia - Wajir, Kenya"
w/o,13-Apr-18,Lockheed P-3C Orion,158567,United States Navy,0,"near Omaha, NE"
sub,14-Apr-18,Antonov An-74-200,EK-74036,Ayk Avia,0,Akola village
sub,15-Apr-18,Saab 340B,C-GTWK,Transwest Air,0,"Prince Albert Airport, SK (YPA)"
sub,15-Apr-18,de Havilland Canada DHC-6 Twin Otter 100,C-FSCA,Transwest Air,0,"Prince Albert Airport, SK (YPA)"
sub,15-Apr-18,Bombardier CL-600-2B16 Challenger 605,C-FXWT,Morningstar Partners Ltd.,0,"Winnipeg-James Armstrong Richardson International Airport, MB (YWG)"
sub,15-Apr-18,Cessna 550 Citation Bravo,N4AT,Private,0,"Winnipeg-James Armstrong Richardson International Airport, MB (YWG)"
w/o,15-Apr-18,Cessna 525 CitationJet,N525P,private,1,"NW of Crozet, VA"
non,15-Apr-18,Airbus A321-213,B-6555,Air China,0,Zhengzhou-Xinzheng International Airport (CGO)
sub,16-Apr-18,Cessna 525 CitationJet CJ1,D-ISWA,Herbert Waldmann Lichttechnik GmbH & Co. KG,0,Le Touquet Airport (LTQ)
sub,17-Apr-18,de Havilland Canada DHC-8-402Q Dash 8,G-JECX,Flybe,0,Newquay-Cornwall Airport (NQY)
sub,17-Apr-18,Boeing 737-7H4 (WL),N772SW,Southwest Airlines,1,"105 km NW of Philadelphia, PA"
sub,18-Apr-18,Airbus A330-323,N806NW,Delta Air Lines,0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)"
sub,20-Apr-18,McDonnell Douglas MD-83,N807WA,World Atlantic Airlines,0,"Alexandria International Airport, LA (AEX)"
sub,23-Apr-18,Antonov An-2R,HA-MBJ,SZEMP Air Kft.,0,Eperjes area
sub,29-Apr-18,Beechcraft 1900C,N172GA,Alpine Aviation,0,"Sioux Falls Regional Airport (Jo Foss Field), SD (FSD)"
w/o,29-Apr-18,Lockheed L-100-30 Hercules,111,Libyan Air Force,3,2 km from Sharara Airstrip
sub,29-Apr-18,Boeing 737-8GP (WL),PK-LOO,Lion Air,0,Gorontalo-Jalaluddin Airport (GTO)
sub,30-Apr-18,Boeing 737-8AS (WL),EI-GDZ,Ryanair,0,London-Stansted Airport (STN)
min,01-May-18,Boeing 767-332ER (WL),N172DN,Delta Air Lines,0,"New York-John F. Kennedy International Airport, NY (JFK)"
sub,01-May-18,Bombardier CRJ-900LR,N606LR,"Delta Connection, opb Endeavor Air",0,"New York-John F. Kennedy International Airport, NY (JFK)"
sub,02-May-18,Boeing 737-8K5 (WL),OO-JAY,TUI fly Belgium,0,Marrakech-Menara Airport (RAK)
w/o,02-May-18,Beechcraft C99 Commuter,PNC0203,Servicio Aéreo de Policia,4,near Ibagué
w/o,02-May-18,Lockheed WC-130H Hercules,65-0968,United States Air Force - USAF,9,"ca 2 km NE of Savannah/Hilton Head International Airport, GA (SAV)"
sub,03-May-18,Dassault Falcon 900EX,ZS-DEX,Blueport Trade 121 (Pty) Ltd.,0,Johannesburg/Germiston-Rand Airport (QRA)
sub,04-May-18,Cessna 525C Citation CJ4,EC-MOQ,Aluminios Cortizo,0,Santiago de Compostela Airport (SCQ)
sub,05-May-18,Embraer KC-390,PT-ZNF,Embraer,0,"Gavião Peixoto-Embraer Unidade Airport, SP (SBGP)"
sub,07-May-18,Boeing 737-8H4 (WL),N8655D,Southwest Airlines,0,"Baltimore/Washington International Thurgood Marshall Airport, MD (BWI)"
sub,12-May-18,Boeing 737-8BK (WL),P2-PXE,Air Niugini,0,Port Moresby-Jacksons International Airport (POM)
sub,12-May-18,Lockheed L-100-30 Hercules,N403LC,"Lynden Air Cargo, opf PNG Air",0,Port Moresby-Jacksons International Airport (POM)
w/o,13-May-18,Cessna 208B Grand Caravan,G-KNYS,"Irish Parachute Club, lsf Parachuting Caravan Leasing",2,"4,6 km NW of Clonbullogue Aerodrome"
sub,13-May-18,Airbus A330-323,HL7792,Asiana Airlines,0,Istanbul-Atatürk International Airport (IST)
sub,13-May-18,Airbus A321-231,TC-JMM,THY Turkish Airlines,0,Istanbul-Atatürk International Airport (IST)
w/o,16-May-18,Cessna 208B Grand Caravan,9N-AJU,Makalu Air,2,Bahun Khark
w/o,18-May-18,Boeing 737-201 Advanced,XA-UHZ,"Cubana de Aviación, lsf Global Air",112,1 km E of Havana-José Martí International Airport (HAV/MUHA)
sub,20-May-18,Gulfstream G200 Galaxy,B-8129,Star Jet,0,Yangzhou Taizhou International Airport (YTY)
sub,21-May-18,Airbus A330-243,TC-OCH,"Saudi Arabian Airlines, lsf Onur Air",0,Jeddah-King Abdulaziz International Airport (JED)
w/o,22-May-18,Gulfstream G200 Galaxy,N813WM,Silver Air,0,Tegucigalpa-Toncontin Airport (TGU)
w/o,22-May-18,Cessna 208B Grand Caravan,PT-FLW,Amazonaves Táxi Aéreo,0,"near Manaus-Aeroclube de Flores Airport, AM"
sub,23-May-18,Beechcraft 200 Super King Air,N800HA,Titan Drilling,0,Kolwezi Airport (KWZ)
min,23-May-18,Beechcraft 200 Super King Air,N905GP,Air Katanga,0,Kolwezi Airport (KWZ)
sub,24-May-18,Fairchild SA227-AC Metro III,XA-UPP,Aeronaves TSM,0,Saltillo-Plan de Guadalupe International Airport (SLW)
sub,30-May-18,Cessna 208B Grand Caravan,5Y-ETY,Asure Air,0,4 km from Obo-Mission Airstrip
sub,30-May-18,Cessna 208B Grand Caravan,5X-MRH,"Air Serv Limited, opf UNHAS",0,Kamonia Airstrip
w/o,03-Jun-18,Lockheed C-130H Hercules,7T-WHT,Al Quwwat al-Jawwiya al-Jaza'eriya,1,near Biskra Airport (BSK)
w/o,05-Jun-18,Cessna 208B Grand Caravan,5Y-CAC,Fly-SAX,10,14 km NE of Njabini
w/o,06-Jun-18,Antonov An-2R,YR-DAX,Aeroserv,0,"Baleni, Galati County"
sub,06-Jun-18,Cessna 525A CitationJet CJ2+,D-IULI,ProAir,0,Saint Tropez-La Môle Airport (LTT)
sub,09-Jun-18,de Havilland Canada DHC-6 Twin Otter 300,9N-AEV,Tara Air,0,Jumla Airport (JUM)
non,10-Jun-18,Boeing 777-223ER,N750AN,American Airlines,0,"Decatur, Texas"
sub,10-Jun-18,Boeing 737-8AL (WL),N276EA,"Swiftair, opf Smartwings",0,Heraklion-N. Kazantzakis Airport (HER/LGIR)
non,10-Jun-18,Boeing 787-9 Dreamliner,N826AN,American Airlines,0,near Harbin
non,10-Jun-18,de Havilland Canada DHC-8-402Q Dash 8,C-FNEN,WestJet Encore,0,"SE of Kamloops, BC"
sub,10-Jun-18,Gulfstream G-IV,N450MB,private,0,Panama City Albrook-Marcos A. Gelabert International Airport (PAC)
sub,11-Jun-18,Pilatus Britten-Norman BN-2B-26 Islander,VP-FBM,Falkland Islands Government Air Service - FIGAS,0,Beaver Island Airstrip
sub,11-Jun-18,Airbus A340-313,D-AIFA,Lufthansa,0,Frankfurt International Airport (FRA/EDDF)
non,12-Jun-18,Boeing 737-8H4 (WL),N8693A,Southwest Airlines,0,"Phoenix, Arizona"
sub,14-Jun-18,McDonnell Douglas MD-83,UR-CPR,Bravo Airways,0,Kyiv-Igor Sikorsky International Airport (IEV)
w/o,14-Jun-18,de Havilland Canada DHC-8-202Q Dash 8,P2-ANX,LinkPNG,0,Mendi Airport (MDU)
non,16-Jun-18,Embraer ERJ-175LR,N637CZ,"Delta Connection, opb Compass Airlines",0,"Cut Bank, Montana"
sub,18-Jun-18,Cessna 208B Grand Caravan,PK-FSL,Spirit Avia Sentosa,0,"6,7 km E of Nabire Airport (NBX)"
sub,21-Jun-18,Embraer ERJ 170LR (ERJ-170-100 LR),N876RW,"Delta Connection, opb Republic Airlines",0,"Columbus-John Glenn International Airport, OH (CMH)"
non,22-Jun-18,Boeing 737-8JP (WL),LN-DYE,Norwegian,0,Alta Airport (ALF/ENAT)
min,22-Jun-18,de Havilland Canada DHC-6 Twin Otter 300,PK-HVU,Dimonim Air,0,Kenyam Airstrip
non,24-Jun-18,Boeing 777-346,JA8944,Japan Airlines (JAL),0,over Kurihara City
w/o,24-Jun-18,Let L-410UVP,3X-AAK,Eagle Air (Guinea),4,"Souguéta, Kindia"
min,25-Jun-18,de Havilland Canada DHC-6 Twin Otter 300,PK-YRU,Trigana Air Service,0,Kenyam Airstrip
sub,26-Jun-18,Learjet 60,N57,Federal Aviation Administration - FAA,0,"Salt Lake City International Airport, UT (SLC)"
min,26-Jun-18,Airbus A330-323,HL8286,Asiana Airlines,0,Seoul-Gimpo (Kimpo) International Airport (SEL)
sub,26-Jun-18,Boeing 777-2B5ER,HL7764,Korean Air,0,Seoul-Gimpo (Kimpo) International Airport (SEL)
sub,27-Jun-18,Antonov An-2R,RA-62524,Feniks,0,"Nizhneudinsk, Irkutsk region"
non,30-Jun-18,Airbus A330-323,N278AY,American Airlines,0,"120 nm NE of Gander, NL"
sub,30-Jun-18,IRMA/Pilatus Britten-Norman BN-2A-26 Islander,V3-HFB,Maya Island Air,0,San Pedro Airport (SPR)
sub,04-Jul-18,Cessna 208B Grand Caravan,N208EE,Air Choice One,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)"
sub,05-Jul-18,Dornier 228-202,VH-VJN,GAM - General Aviation Maintenance,0,"Thangool Airport, QLD (THG)"
sub,05-Jul-18,Cessna 208B Grand Caravan,5Y-BUC,Flex Air Charters,0,"1,2 km from Padek Airstrip"
sub,06-Jul-18,ATR 72-600 (72-212A),CS-DJG,"TAP Express, opb White Airways",0,Fez-Sais Airport (FEZ)
sub,09-Jul-18,ATR 72-600 (72-212A),CN-COH,RAM Express,0,"2,6 km N off Al Hoceima-Charif Al Idrissi Airport (AHU)"
sub,09-Jul-18,de Havilland Canada DHC-3T Texas Turbine Otter,C-GBQC,Ookpik Aviation,0,"Parker Lake, NU"
sub,10-Jul-18,de Havilland Canada DHC-3T Vazar Turbine Otter,N3952B,Taquan Air,0,"Mount Jumbo, Prince of Wales Island, AK"
w/o,10-Jul-18,Convair CV-340,ZS-BRV,Rovos Air,1,6 km ESE of Pretoria-Wonderboom Airport (PRY)
sub,11-Jul-18,Douglas DC-3C,HK-3293,Air Colombia,0,San Felipe Airport
sub,16-Jul-18,Boeing 737-8EH (WL),PR-GGD,Gol Linhas Aéreas,0,"Belo Horizonte-Tancredo Neves International Airport, MG (CNF)"
sub,16-Jul-18,Boeing 737-8F2 (WL),LV-HQY,Flybondi,0,"Cataratas del Iguazú-M.C.E. Krause Airport, MI (IGR)"
sub,16-Jul-18,Curtiss C-46F-1-CU Commando,N1822M,Everts Air Fuel,0,"Manley Hot Springs Airport, AK (MLY)"
non,20-Jul-18,Boeing 767-3Q8ER,C-FJZK,Air Canada Rouge,0,"140 nm SSE of Lovelock, NV"
w/o,20-Jul-18,Antonov An-26B,UP-AN611,Kazairtrans Airline,0,50 km from Al Alamain
w/o,21-Jul-18,Douglas C-47B (DC-3),N47HL,"Commemorative Air Force, Highland Lakes Squadron",0,"Burnet Municipal Kate Craddock Field, TX"
sub,22-Jul-18,Cessna 750 Citation X,N752TX,Textron Inc.,0,Cork Airport (ORK/EICK)
non,23-Jul-18,McDonnell Douglas MD-88,N918DE,Delta Air Lines,0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)"
non,23-Jul-18,Airbus A319-114,N328NB,Delta Air Lines,0,"West Palm Beach, Florida"
sub,23-Jul-18,Cessna 560 Citation Encore,N866VP,OzAir Charter Service,0,"near Tulsa International Airport, OK (TUL)"
sub,26-Jul-18,Boeing 757-204,UP-B5705,"Sunday Airlines, opf SCAT Airlines",0,Almaty Airport (ALA/UAAA)
sub,27-Jul-18,Boeing 767-38EER,N641GT,Atlas Air,0,"Portsmouth International Airport at Pease, NH (PSM)"
w/o,27-Jul-18,Antonov An-2R,9S-GFS,Air Kasai,5,3 km E of Kamako Airstrip
sub,28-Jul-18,IRMA/Britten-Norman BN-2A-27 Islander,YJ-AL2,Air Taxi Vanuatu,0,Port Vila-Bauerfield Airport (VLI)
w/o,28-Jul-18,Britten-Norman BN-2A-8 Islander,YJ-OO9,Unity Airlines,0,Port Vila-Bauerfield Airport (VLI)
sub,28-Jul-18,ATR 72-500 (72-212A),YJ-AV71,Air Vanuatu,0,Port Vila-Bauerfield Airport (VLI)
sub,30-Jul-18,Antonov An-2SX,RA-40649,private,0,"Evenki district, Krasnoyarsk Krai"
sub,31-Jul-18,Boeing 757-223,N192AN,American Airlines,0,"Philadelphia International Airport, PA (PHL/KPHL)"
w/o,31-Jul-18,Embraer ERJ 190AR,XA-GAL,Aeroméxico Connect,0,Durango-Guadalupe Victoria Airport (DGO)
sub,01-Aug-18,Beechcraft B300 King Air 350,N557AP,Atlantic Transportation of Wilmington LLC,0,"near Wilmington-New Hanover County International Airport, NC (ILM)"
sub,03-Aug-18,Shijiazhuang Y-5B(D),B-50AA,Heilongjiang Kunpeng General Aviation Co.,0,32 km E of Tongjiang
w/o,04-Aug-18,Junkers Ju-52/3mg4e,HB-HOT,Ju-Air,20,"1,2 km SW of Piz Segnas"
non,06-Aug-18,Airbus A321-231,PT-MXA,LATAM Airlines Brasil,0,"Choró, CE"
sub,07-Aug-18,Dassault Falcon 20D,N961AA,Alliance Air Charter,0,ca 3 km from San Luis Potosí Airport (SLP)
sub,07-Aug-18,Cessna 208B Grand Caravan,VT-UDN,Supreme Airlines,0,Lalgarh Airport
sub,09-Aug-18,Boeing 777-3F2ER,TC-JJZ,THY Turkish Airlines,0,Istanbul-Atatürk International Airport (IST)
sub,09-Aug-18,Boeing 787-8 Dreamliner,CN-RGT,Royal Air Maroc - RAM,0,Istanbul-Atatürk International Airport (IST)
w/o,10-Aug-18,de Havilland Canada DHC-8-402Q Dash 8,N449QX,"Horizon Air, opf Alaska Airlines",1,"Ketron Island, WA"
sub,13-Aug-18,Airbus A321-271N,N204HA,Hawaiian Airlines,0,"Los Angeles International Airport, CA (LAX)"
w/o,13-Aug-18,Cessna 525 CitationJet,N526CP,Vancon Holdings,1,"Payson, UT"
sub,15-Aug-18,Boeing 777-367ER,B-KPY,Cathay Pacific Airways,0,Roma-Fiumicino Airport (FCO)
sub,16-Aug-18,Boeing 737-85C (WL),B-5498,Xiamen Airlines,0,Manila-Ninoy Aquino International Airport (MNL)
sub,19-Aug-18,de Havilland Canada DHC-8-402Q Dash 8,N404AV,LC Perú,0,Lima-Jorge Chávez International Airport (LIM)
sub,19-Aug-18,Antonov An-2T,D-FOJB,Ostthüringer Fallschirmsportclub - OFC,0,Gera-Leumnitz Airfield (EDAJ)
non,24-Aug-18,Boeing 757-2Q8 (WL),EI-LBT,Aer Lingus,0,"Philadelphia International Airport, PA (PHL/KPHL)"
w/o,25-Aug-18,Grumman HU-16C Albatross,N1955G,Stargazer Aero,0,"680 km WNW off Cape Hatteras, NC"
sub,26-Aug-18,Harbin Y-12E,HK-5036,SATENA,0,Santafé del Caguán
sub,26-Aug-18,Boeing 767-333ER (WL),C-FMWV,Air Canada Rouge,0,"31 km N of Vancouver International Airport, BC (YVR)"
sub,26-Aug-18,Cessna 208B Grand Caravan,5Y-BOP,Bush Air Safaris,0,Pieri Airstrip
non,27-Aug-18,Airbus A320-214 (WL),JA14VA,Vanilla Air,0,45 KM East of Miyazaki Airport
sub,28-Aug-18,Antonov An-2R,LZ-1409,Air Mizia,0,near Brusartsi
sub,28-Aug-18,Airbus A320-214,B-6952,Beijing Capital Airlines,0,Macau Airport (MFM)
w/o,30-Aug-18,de Havilland Canada DHC-6 Twin Otter 300,ET-AIU/808,Ethiopian Air Force,18,near Mojo
sub,31-Aug-18,Cessna 680 Citation Sovereign,TC-OYD,Boydak Air,0,Bourgas Airport (BOJ)
w/o,01-Sep-18,Boeing 737-8AS (WL),VQ-BJI,Utair,0,Adler/Sochi Airport (AER)
sub,03-Sep-18,Beechcraft B200 Super King Air,N97WC,West Coast Aviation Services,0,"Burbank-Bob Hope Airport, CA (BUR)"
non,06-Sep-18,Boeing 757-223 (WL),N173AN,American Airlines,0,"near New York, NY"
sub,06-Sep-18,Beechcraft A100 King Air,PT-LJN,VOAR Aviação,0,"Itapaci, GO"
w/o,09-Sep-18,Let L-410UVP,UR-TWO,"South West Aviation, lsf Slav-Air",20,"1,6 km W of Yirol Airstrip"
non,10-Sep-18,Boeing 737-823 (WL),N950NN,American Airlines,0,"Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX)"
non,15-Sep-18,Boeing 777-333ER,C-FNNW,Air Canada,0,NE of Nova Scotia
sub,15-Sep-18,Canadair CL-215-6B11 (CL-415),C-FOFI,Government of Newfoundland and Labrador,0,"Whitehead Pond, NL"
non,16-Sep-18,Boeing 777-328ER,F-GSQL,Air France,0,Mauritius-Sir Seewoosagur Ramgoolam International Airport (MRU/FIMP)
sub,16-Sep-18,Boeing 747-428FER,TC-ACM,"Saudi Arabian Airlines, lsf ACT Airlines",0,Frankfurt International Airport (FRA/EDDF)
w/o,17-Sep-18,Ilyushin Il-20M,RF-93610,Russian Air Force,15,35 km W off Latakia-Khmeimim Air Base (LTK)
sub,17-Sep-18,Airbus A320-216,HS-ABI,Thai AirAsia,0,Bangkok-Don Muang International Airport (DMK/VTBD)
sub,18-Sep-18,Antonov An-2R,YU-BRK,STS Aviatsija,0,near Jagodina
sub,18-Sep-18,British Aerospace BAe-125-700A,N109BG,Starjet Inc.,0,"Santa Fe Airport, NM (SAF)"
sub,20-Sep-18,Embraer EMB-120ER Brasilia,N233SW,Berry Aviation,0,"south of Lake Jackson, TX"
